week,Load: Practice,Load: S&C,Load: Competition,Distance,High Speed Distance,Sprints,Sleep,Soreness
31,384.0,67.0,0.0,16641.6,2743.7,39.0,45.333333333333336,44.0
7,0.0,0.0,0.0,0.0,0.0,0.0,65.75,42.0
31,0.0,70.0,0.0,0.0,0.0,0.0,54.0,39.0
19,0.0,133.0,0.0,4513.6,0.0,0.0,55.666666666666664,44.666666666666664
45,474.0,0.0,412.0,50056.0,0.0,170.0,65.0,42.333333333333336
9,650.0,163.0,0.0,18796.4,1229.9,32.0,47.0,31.142857142857142
9,0.0,0.0,0.0,0.0,0.0,0.0,67.0,74.0
8,154.0,79.0,0.0,9597.599999999999,489.3,30.0,89.0,4.5
28,280.0,86.0,0.0,13489.3,1549.7,50.0,36.0,50.857142857142854
46,361.0,0.0,510.0,96505.0,0.0,418.0,73.5,23.5
13,332.0,23.0,0.0,12532.099999999999,1036.1,26.0,31.333333333333332,30.333333333333332
5,0.0,0.0,0.0,0.0,0.0,0.0,59.5,31.25
3,0.0,0.0,0.0,0.0,0.0,0.0,82.5,13.666666666666666
4,0.0,0.0,0.0,0.0,0.0,0.0,80.0,33.0
4,540.0,67.0,0.0,14885.1,695.9,25.0,47.285714285714285,37.285714285714285
23,721.0,0.0,0.0,23188.6,2885.1,126.0,44.75,44.57142857142857
11,76.0,0.0,0.0,3135.2,355.1,45.0,53.0,26.0
10,0.0,0.0,0.0,0.0,0.0,0.0,52.285714285714285,48.0
19,0.0,196.0,0.0,7742.1,0.0,0.0,73.14285714285714,4.428571428571429
16,275.0,0.0,627.0,43936.3,6782.1,125.0,54.333333333333336,29.666666666666668
5,300.0,55.0,0.0,14888.0,481.4,22.0,46.666666666666664,18.333333333333332
1,0.0,0.0,0.0,0.0,0.0,0.0,60.4,20.8
5,0.0,0.0,0.0,0.0,0.0,0.0,49.25,30.25
5,197.0,123.0,0.0,9457.2,17.9,1.0,54.0,43.57142857142857
46,365.0,0.0,213.0,33294.0,0.0,105.0,62.0,48.0
25,0.0,0.0,0.0,4834.8,0.0,0.0,36.166666666666664,0.0
2,647.0,55.0,0.0,16671.2,630.8,26.0,62.285714285714285,48.714285714285715
6,233.0,0.0,0.0,8194.2,523.1,17.0,81.5,45.0
